,mes,infeccoes,populacao,max,media,min,ind_pluv
238,11,0,27404,25,21,18,120.2
239,12,0,27404,27,22,19,169.9
240,1,0,93853,27,22,19,216.0
241,2,0,93853,28,23,19,191.2
242,3,3,93853,27,22,19,141.9
243,4,8,93853,25,20,17,80.8
244,5,5,93853,23,18,14,62.2
245,6,2,93853,22,16,13,51.5
246,7,0,93853,22,16,12,39.4
247,8,0,93853,23,17,13,40.2
248,9,0,93853,24,18,14,103.8
249,10,0,93853,25,20,16,104.9
250,11,0,93853,26,21,17,127.8
251,12,2,93853,27,22,18,183.8
252,1,1,418261,27,22,20,218.4
253,2,3,418261,27,23,20,203.4
254,3,3,418261,26,22,19,156.9
255,4,27,418261,25,21,18,97.7
256,5,14,418261,22,18,15,70.7
257,6,7,418261,21,17,14,61.1
258,7,2,418261,21,16,13,49.4
259,8,2,418261,22,17,14,44.9
260,9,1,418261,23,18,15,96.9
261,10,1,418261,24,19,16,104.9
262,11,1,418261,25,20,18,125.4
263,12,0,418261,26,22,19,177.1
264,1,1,451505,27,22,19,219.0
265,2,1,451505,28,23,19,202.1
266,3,7,451505,27,22,19,156.1
267,4,32,451505,25,21,17,96.3
268,5,23,451505,23,18,14,68.9
269,6,17,451505,22,16,13,57.2
270,7,2,451505,22,16,12,47.0
271,8,1,451505,23,17,13,44.4
272,9,0,451505,24,18,14,99.9
273,10,2,451505,25,20,16,105.9
274,11,0,451505,26,21,17,128.5
275,12,0,451505,27,22,18,181.0
276,1,3,728615,28,23,20,215.8
277,2,6,728615,28,24,20,194.2
278,3,24,728615,27,23,20,144.4
279,4,86,728615,26,21,18,84.1
280,5,34,728615,23,19,15,65.2
281,6,8,728615,22,17,14,57.0
282,7,3,728615,22,17,13,44.2
283,8,4,728615,24,18,14,40.8
284,9,4,728615,24,19,15,94.0
285,10,4,728615,25,20,17,102.6
286,11,3,728615,26,22,18,124.9
287,12,5,728615,27,23,19,178.9
288,1,1,18370,28,23,20,211.1
289,2,0,18370,28,24,20,184.4
290,3,0,18370,28,23,19,133.0
291,4,0,18370,26,21,18,74.4
292,5,0,18370,23,19,15,60.6
293,6,0,18370,22,17,13,53.2
294,7,0,18370,23,17,13,39.8
295,8,0,18370,24,18,13,38.3
296,9,0,18370,25,19,15,92.9
297,10,0,18370,26,21,17,99.9
298,11,0,18370,27,22,18,122.8
299,12,0,18370,27,23,19,178.0
300,1,0,103765,30,25,21,102.0
301,2,0,103765,30,25,21,103.7
302,3,1,103765,29,24,20,84.1
303,4,15,103765,26,21,17,96.8
304,5,9,103765,22,17,13,96.1
305,6,3,103765,20,15,11,123.1
306,7,1,103765,19,14,10,130.5
307,8,0,103765,21,16,11,112.6
308,9,0,103765,22,17,13,137.1
309,10,0,103765,25,20,16,130.5
310,11,0,103765,27,22,18,103.2
311,12,0,103765,29,24,19,93.9
312,1,0,115559,27,22,20,218.9
313,2,0,115559,27,23,20,205.2
314,3,0,115559,26,22,19,159.6
315,4,17,115559,25,21,18,100.6
316,5,5,115559,22,18,16,72.1
317,6,0,115559,21,17,14,62.6
318,7,1,115559,21,16,13,51.1
319,8,0,115559,22,17,14,45.9
320,9,0,115559,22,18,15,97.2
321,10,2,115559,23,19,16,105.2
322,11,1,115559,24,20,18,125.2
323,12,0,115559,26,22,19,176.5
324,1,1,44170,27,22,20,219.1
325,2,0,44170,27,23,20,206.4
326,3,0,44170,26,22,20,161.2
327,4,0,44170,24,21,18,102.4
328,5,0,44170,22,18,16,73.2
329,6,0,44170,21,17,14,63.6
330,7,1,44170,21,17,13,52.2
331,8,0,44170,22,17,14,46.6
332,9,0,44170,22,18,15,97.1
333,10,0,44170,23,19,16,105.6
334,11,0,44170,24,20,18,124.9
335,12,0,44170,26,22,19,175.8
336,1,0,3538,28,23,19,219.0
337,2,0,3538,29,23,20,197.1
338,3,1,3538,28,23,19,150.0
339,4,0,3538,26,21,17,87.8
340,5,3,3538,24,18,15,64.1
341,6,0,3538,23,17,13,51.4
342,7,33,3538,23,17,12,40.9
343,8,0,3538,24,18,13,41.6
344,9,6,3538,25,19,15,105.4
345,10,0,3538,26,21,17,107.1
346,11,3,3538,27,22,18,130.5
347,12,0,3538,28,23,19,185.8
348,1,1,154105,28,23,20,213.6
349,2,1,154105,28,24,20,188.8
350,3,6,154105,27,23,19,137.9
351,4,0,154105,26,21,18,78.1
352,5,20,154105,23,18,15,62.3
353,6,4,154105,22,17,13,54.5
354,7,9,154105,22,17,13,41.3
355,8,1,154105,24,18,13,39.4
356,9,9,154105,25,19,15,94.4
357,10,5,154105,26,21,17,101.6
358,11,2,154105,27,22,18,124.2
359,12,1,154105,27,23,19,179.1
360,1,5,748919,27,23,20,217.9
361,2,1,748919,28,23,20,202.2
362,3,2,748919,27,22,19,155.2
363,4,4,748919,25,21,18,95.8
364,5,6,748919,23,18,16,70.1
365,6,13,748919,22,17,14,61.0
366,7,16,748919,22,17,13,49.0
367,8,17,748919,23,18,14,44.2
368,9,14,748919,23,18,15,96.2
369,10,18,748919,24,20,16,104.4
370,11,5,748919,25,21,18,125.2
371,12,2,748919,26,22,19,177.0
372,1,3,810729,27,23,20,217.9
373,2,2,810729,28,23,20,202.9
374,3,5,810729,27,22,20,156.0
375,4,3,810729,25,21,18,96.7
376,5,19,810729,23,19,16,70.6
377,6,11,810729,22,17,14,61.8
378,7,104,810729,22,17,14,49.8
379,8,19,810729,23,18,14,44.6
380,9,28,810729,23,18,15,95.9
381,10,21,810729,24,20,16,104.5
382,11,9,810729,25,21,18,124.8
383,12,2,810729,26,22,19,176.4
384,1,0,165655,27,23,20,217.5
385,2,1,165655,28,23,20,200.9
386,3,3,165655,27,23,20,153.0
387,4,3,165655,25,21,18,93.5
388,5,3,165655,23,18,16,69.0
389,6,12,165655,22,17,14,59.8
390,7,16,165655,22,17,13,47.8
391,8,27,165655,23,18,14,43.5
392,9,5,165655,23,18,15,96.2
393,10,9,165655,24,20,17,104.2
394,11,1,165655,25,21,18,125.5
395,12,3,165655,27,22,19,177.9
396,1,99,11451999,28,23,20,216.8
397,2,17,11451999,28,24,21,197.1
398,3,318,11451999,27,23,20,148.2
399,4,44,11451999,26,21,18,88.1
400,5,1064,11451999,23,19,16,66.6
401,6,41,11451999,22,17,14,57.5
402,7,3136,11451999,22,17,13,45.2
403,8,66,11451999,23,18,14,41.8
404,9,1629,11451999,24,19,15,95.8
405,10,29,11451999,25,20,17,103.4
406,11,481,11451999,26,21,18,125.5
407,12,12,11451999,27,23,20,179.1
408,1,0,307429,27,23,19,219.4
409,2,0,307429,28,23,19,202.5
410,3,0,307429,27,22,19,155.6
411,4,0,307429,25,21,17,95.3
412,5,4,307429,23,18,15,69.0
413,6,0,307429,22,17,13,58.0
414,7,26,307429,22,16,12,47.2
415,8,0,307429,23,17,13,44.3
416,9,33,307429,24,18,14,100.2
417,10,2,307429,25,20,16,105.8
418,11,10,307429,26,21,17,128.0
419,12,0,307429,27,22,18,181.0
420,1,0,273542,28,23,20,216.6
421,2,0,273542,28,23,20,197.9
422,3,0,273542,27,22,19,148.8
423,4,0,273542,25,21,18,89.0
424,5,0,273542,23,18,15,67.7
425,6,0,273542,22,17,14,59.6
426,7,3,273542,22,17,13,46.8
427,8,0,273542,23,18,14,42.1
428,9,3,273542,24,18,15,93.6
429,10,3,273542,25,20,16,103.1
430,11,0,273542,26,21,18,124.2
431,12,0,273542,27,22,19,177.4
432,1,0,50415,19,22,27,211.9
433,2,1,50415,19,22,27,190.1
434,3,0,50415,18,22,26,139.1
435,4,0,50415,17,20,25,81.0
436,5,1,50415,14,18,22,64.5
437,6,0,50415,13,16,21,58.2
438,7,0,50415,12,16,21,44.9
439,8,0,50415,13,17,23,39.7
440,9,0,50415,14,18,23,88.0
441,10,0,50415,15,19,24,99.6
442,11,0,50415,17,20,25,120.8
443,12,0,50415,18,21,26,174.0
444,1,0,92453,28,22,19,218.8
445,2,3,92453,28,23,19,198.2
446,3,4,92453,27,22,18,150.5
447,4,40,92453,25,21,17,89.1
448,5,35,92453,23,18,14,65.6
449,6,5,92453,22,16,13,53.8
450,7,0,92453,22,16,12,42.8
451,8,0,92453,24,17,12,42.2
452,9,0,92453,24,18,14,103.4
453,10,0,92453,25,20,16,106.3
454,11,0,92453,26,21,17,129.1
455,12,0,92453,27,22,18,184.0
456,1,4,316473,28,23,20,215.1
457,2,7,316473,28,24,20,192.2
458,3,11,316473,27,23,20,141.9
459,4,13,316473,26,21,18,81.4
460,5,15,316473,23,19,15,64.2
461,6,5,316473,22,17,14,56.5
462,7,3,316473,22,17,13,43.3
463,8,0,316473,24,18,14,40.1
464,9,0,316473,25,19,15,93.2
465,10,0,316473,26,21,17,102.3
466,11,0,316473,27,22,18,124.8
467,12,0,316473,27,23,19,179.0
468,1,2,29683,27,22,19,215.6
469,2,0,29683,27,23,19,200.0
470,3,3,29683,26,22,19,156.5
471,4,30,29683,25,20,17,98.8
472,5,16,29683,22,18,15,69.0
473,6,1,29683,22,16,13,57.2
474,7,1,29683,21,16,12,48.0
475,8,0,29683,22,17,13,44.2
476,9,0,29683,23,18,14,95.5
477,10,0,29683,24,19,16,104.2
478,11,0,29683,25,20,17,126.8
479,12,1,29683,26,22,18,176.9
480,1,0,95032,28,23,20,215.0
481,2,0,95032,28,24,20,189.9
482,3,14,95032,27,23,19,140.0
483,4,42,95032,26,21,18,79.2
