cidade,ano,mes,infeccoes,populacao,infe_pop,max,media,min,ind_pluv,Aruja,Barueri,Biritiba_Mirim,Caieiras,Cajamar,Carapicuiba,Cotia,Diadema,Embu,Embu_Guacu,Ferraz_de_Vasconcelos,Francisco_Morato,Franco_da_Rocha,Guararema,Guarulhos,Itapecerica_da_Serra,Itapevi,Itaquaquecetuba,Jandira,Juquitiba,Mairipora,Maua,Mogi_das_Cruzes,Osasco,Pirapora_do_Bom_Jesus,Poa,Ribeirao_Pires,Rio_Grande_da_Serra,Santa_Isabel,Santana_do_Parnaiba,Santo_Andre,Sao_Bernardo_do_Campo,Sao_Caetano_do_Sul,Suzano,Taboao_da_Serra,Sao_Paulo,Vargem_Grande_Paulista
Caieiras,2021,5,31,95032,0.00032620590958834900,23,18,15,62.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caieiras,2021,6,15,95032,0.00015784156915565300,22,17,13,52.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caieiras,2021,7,2,95032,0.00002104554255408700,22,17,13,39.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caieiras,2021,8,0,95032,0.00000000000000000000,24,18,13,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caieiras,2021,9,0,95032,0.00000000000000000000,25,19,15,100.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caieiras,2021,10,0,95032,0.00000000000000000000,26,21,17,103.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caieiras,2021,11,0,95032,0.00000000000000000000,26,22,18,126.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caieiras,2021,12,0,95032,0.00000000000000000000,27,23,19,182.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,1,2,92689,0.00002157753347214880,28,23,20,214.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,2,7,92689,0.00007552136715252080,28,23,20,187.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,3,3,92689,0.00003236630020822320,27,23,19,137.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,4,21,92689,0.00022656410145756200,26,21,17,76.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,5,29,92689,0.00031287423534615800,23,18,15,61.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,6,5,92689,0.00005394383368037200,22,17,13,52.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,7,1,92689,0.00001078876673607440,22,17,12,39.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,8,0,92689,0.00000000000000000000,24,18,13,39.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,9,0,92689,0.00000000000000000000,25,19,15,100.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,10,1,92689,0.00001078876673607440,26,21,17,103.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,11,0,92689,0.00000000000000000000,26,21,18,126.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajamar,2021,12,0,92689,0.00000000000000000000,27,22,19,181.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,1,0,386984,0.00000000000000000000,28,23,20,215.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,2,5,386984,0.00001292043081884520,28,24,20,193.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,3,3,386984,0.00000775225849130713,27,23,20,143.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,4,15,386984,0.00003876129245653570,26,21,18,82.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,5,12,386984,0.00003100903396522850,23,19,15,64.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,6,3,386984,0.00000775225849130713,22,17,14,56.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,7,2,386984,0.00000516817232753809,22,17,13,43.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,8,2,386984,0.00000516817232753809,24,18,14,40.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,9,1,386984,0.00000258408616376904,24,19,15,93.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,10,4,386984,0.00001033634465507620,26,20,17,102.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,11,2,386984,0.00000516817232753809,26,22,18,124.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carapicuíba,2021,12,0,386984,0.00000000000000000000,27,23,19,178.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,1,0,274413,0.00000000000000000000,27,23,20,214.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,2,4,274413,0.00001457656889433080,28,23,20,194.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,3,3,274413,0.00001093242667074810,27,22,19,144.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,4,14,274413,0.00005101799113015780,25,21,17,84.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,5,9,274413,0.00003279728001224430,23,18,15,65.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,6,1,274413,0.00000364414222358270,22,17,13,58.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,7,0,274413,0.00000000000000000000,22,17,13,45.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,8,0,274413,0.00000000000000000000,23,18,13,40.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,9,1,274413,0.00000364414222358270,24,18,15,91.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,10,0,274413,0.00000000000000000000,25,20,16,101.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,11,0,274413,0.00000000000000000000,26,21,17,123.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotia,2021,12,0,274413,0.00000000000000000000,27,22,19,176.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadema,2021,1,4,393237,0.00001017198279917710,27,23,20,217.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadema,2021,2,1,393237,0.00000254299569979427,28,23,20,202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadema,2021,3,21,393237,0.00005340290969567970,27,22,20,154.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadema,2021,4,95,393237,0.00024158459148045600,25,21,18,95.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadema,2021,5,39,393237,0.00009917683229197660,23,19,16,70.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadema,2021,6,17,393237,0.00004323092689650260,22,17,14,61.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadema,2021,7,3,393237,0.00000762898709938281,22,17,13,49.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadema,2021,8,1,393237,0.00000254299569979427,23,18,14,44.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadema,2021,9,3,393237,0.00000762898709938281,23,18,15,95.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
